source_file,school,slug,kind,pages,size_bytes,relative_source
上依知小学校_01.pdf,上依知小学校,kamiechi-es,school,2,91101,厚木市/上依知小学校_01.pdf
上荻野小学校_13.pdf,上荻野小学校,kamiogino-es,school,1,88809,厚木市/上荻野小学校_13.pdf
依知小学校_0002.pdf,依知小学校,echi-es,school,2,66170,厚木市/依知小学校_0002.pdf
南毛利小学校_09.pdf,南毛利小学校,nanmori-es,school,1,214319,厚木市/南毛利小学校_09.pdf
厚木小学校_06.pdf,厚木小学校,atsugi-es,school,1,511448,厚木市/厚木小学校_06.pdf
厚木第二小学校_05.pdf,厚木第二小学校,atsugi-daini-es,school,1,326003,厚木市/厚木第二小学校_05.pdf
厚木第二小学校_10.pdf,厚木第二小学校,atsugi-daini-es,school,4,142135,厚木市/厚木第二小学校_10.pdf
小鮎小学校_08.pdf,小鮎小学校,koayu-es,school,2,72337,厚木市/小鮎小学校_08.pdf
戸室小学校_11.pdf,戸室小学校,tomuro-es,school,2,46452,厚木市/戸室小学校_11.pdf
戸田小学校_01.pdf,戸田小学校,toda-es,school,2,61453,厚木市/戸田小学校_01.pdf
清水小学校_07.pdf,清水小学校,shimizu-es,school,2,98655,厚木市/清水小学校_07.pdf
相川中学校　会議録_04.pdf,相川中学校,aikawa-jhs,school,9,260199,厚木市/相川中学校　会議録_04.pdf
相川小学校　相談受付記録_01.pdf,相川小学校,aikawa-es,school,3,82573,厚木市/相川小学校　相談受付記録_01.pdf
睦合中学校_01.pdf,睦合中学校,mutsuai-jhs,school,2,48104,厚木市/睦合中学校_01.pdf
通知_03.pdf,通知,_common/notice-03,common,2,363911,厚木市/通知_03.pdf
鳶尾小学校　相談受付記録_01.pdf,鳶尾小学校,tobio-es,school,2,74140,厚木市/鳶尾小学校　相談受付記録_01.pdf
麦田小学校_12.pdf,麦田小学校,unmapped/mugita-es,unmapped,2,55091,厚木市/麦田小学校_12.pdf
