category,priority,title,url,type,use,status
01_横浜市通知,A,横浜市教育委員会通知 学教第1965号（yokohama-notice-1965.pdf）,https://drive.google.com/file/d/1f1QSbyS8UtsRnRAFct9z0lnKlad_p8ci,自治体公式通知PDF候補,PTA任意加入、個人情報同意、未加入家庭配慮、会費説明、学校とPTAの関係,PDF本体は別管理。Drive候補確認。
02_個人情報,A,第353回個人情報保護委員会資料3,https://drive.google.com/file/d/1ZgAu-we_1MUUQOMrICl0-PqxrHBQQbDc,個人情報保護委員会資料PDF,学校からPTAへの個人情報提供、同意取得、第三者提供・目的外利用,PDF本体は別管理。Drive候補確認。
02_個人情報,A,ppc-pta-personal-information-material-353.pdf,https://drive.google.com/file/d/16JgzzbA2XSmPG_khN626DbI6zk2i48wG,個人情報保護委員会関連整理PDF,PTA・学校個人情報ページ用候補。第353回資料との重複確認が必要,重複可能性あり。内容照合が必要。
03_学校徴収金,A,文部科学省 学校徴収金の公会計化等の取組の一層の推進について（通知）,https://drive.google.com/file/d/16cN8p-Ymv1Po-XKXZ4PfMysE34EWpZbo,文部科学省通知PDF,学校徴収金の公会計化、学校・教師の負担軽減、学校以外が担うべき業務,テキスト抽出確認済み。
03_学校徴収金,B,宮崎市 学校納入金等取扱マニュアル.pdf,https://drive.google.com/file/d/1lZcnNTcq2x3mRY4vi2NaKmYn4Lv6ulI-,自治体マニュアルPDF,学校納入金・団体会計処理の自治体比較資料,発出主体・現行性の確認が必要。
03_学校徴収金,B,山梨県 PTA・積立金会計事務処理の手引.pdf,https://drive.google.com/file/d/1dKrZ6Rvzzd_r1CgyPqvnJLnp_WgnFRHS,自治体/県資料PDF,PTA会計・積立金会計を学校側が扱う制度整理の比較資料,発出主体・現行性の確認が必要。
03_学校徴収金,B,高松市 学校徴収金等取扱マニュアル.pdf,https://drive.google.com/file/d/1RYSdUfBtYAC2fvwHUCBj2MkliyJraTag,自治体マニュアルPDF,学校徴収金・団体徴収金の自治体比較資料,発出主体・現行性の確認が必要。
03_学校徴収金,B,つくば市立学校 学校徴収金取扱要項（ガイドライン）.pdf,https://drive.google.com/file/d/1Sz7zRzB_9psV3OG4iLL-Id4REIgpkMZz,自治体ガイドラインPDF,学校徴収金にPTA会費等を含める運用比較、問題点整理,発出主体・現行性の確認が必要。
04_兼職兼業_職専免,A,文部科学省 通知 学校関係団体が実施する事業に係る兼職兼業等の取扱い及び学校における会計処理の適正化についての留意事項.pdf,https://drive.google.com/file/d/1Oxl7OVyEMReYY97LF2OrV_11waFWdUQE,文部科学省通知PDF,PTA等学校関係団体、兼職兼業、学校会計処理、教職員関与,Drive上の資料候補として確認。
04_兼職兼業_職専免,A,PTA等学校関係団体が実施する事業に係る兼職兼業等の取扱い及び学校における会計処理の適正化についての点検・調査結果について：文部科学省.pdf,https://drive.google.com/file/d/15lCVnKOwb33izYPK9JqoBr2uE70Pur3S,文部科学省調査結果PDF,学校関係団体・PTA関連の兼職兼業、会計処理、点検調査,Drive上の資料候補として確認。
04_兼職兼業_職専免,B,横浜市 職専免.pdf,https://drive.google.com/file/d/1P6mOXmP3Znb7PikvB5Xio6n9qiCr1Pit,自治体資料PDF,横浜市の職務専念義務免除関係資料の候補,重複候補あり。内容確認が必要。
04_兼職兼業_職専免,B,teacher-duty-positioning.pdf,https://drive.google.com/file/d/1MPq9_Mn88ipbrFdXUcg0ZTC1GyjAeaef,教員職務位置づけ資料PDF,教員の職務・職専免・学校外団体関与の補助資料,Drive上の資料候補として確認。
04_兼職兼業_職専免,B,公私協働時代における職務専念義務免除のあり方　曽和俊文.pdf,https://drive.google.com/file/d/1DwhDDrxsFZuwCy8arJVphxiF7aqc64Pd,学術論文/研究資料PDF,職専免制度の理論的補助資料。一次資料ではなく参考研究,参考資料。一次資料とは分けて扱う。
05_施設利用_137条,A,mext-school-facility-article137-notice.pdf,https://drive.google.com/file/d/1whRTpAMLsWj8IK288bWOMmXSW8HjHipj,文部科学省/学校施設利用関係PDF候補,学校教育法137条、学校施設利用、PTA学校利用,Drive上の資料候補として確認。
05_施設利用_137条,B,文科省　137条について.pdf,https://drive.google.com/file/d/1OadXcFqv8_IHz4eqIB91A-QyZKYmgVVy,文科省137条資料PDF候補,学校教育法137条整理の補助資料,mext-school-facility-article137-notice.pdfとの重複確認が必要。
06_働き方改革,A,文科省　答申平成31年.pdf,https://drive.google.com/file/d/18xjEMjYPwc37iQ2E7zU2Id23e1OxfDyZ,中央教育審議会答申PDF,学校・教師が担う業務3分類、学校徴収金や地域対応等の前提資料,重複多数あり。1件だけ採用すればよい。
07_消費者契約法,B,消費者庁　消費者契約法逐条解説　事業者.pdf,https://drive.google.com/file/d/10nqDa6HMOGYl3dGqHnCDml4sYifV3F2q,消費者庁逐条解説PDF候補,PTAの事業者性、消費者契約法上の説明・取消し・不当条項の検討補助資料,公式解説候補。全文・出典確認が必要。
08_自治労_文科省確認,C,自治労　文科省回答PDF.pdf,https://drive.google.com/file/d/1TF-K9TcRobnWak5nD0I_2jF_gFrCVlzy,交渉記録/回答PDF,PTA事務と教職員職務の関係を検討する補助資料,補助資料。公式通知とは分ける。
